Pinicial Pfinal Longitud_A* Longitud_HPA* Tiempo_A* Tiempo_preprocesamiento_HPA* Tiempo_ES_HPA* Tiempo_refinamiento_HPA* Nodos_A* Nodos_HPA* %error
(179,51) (83,249) 319 343 0.85393912 0.85675342 0.00203015 3.3882E-4 9396 735 7.52 
(35,170) (110,208) 110 118 0.25890131 0.85675342 0.00209081 3.718E-5 3095 178 7.27 
(100,82) (58,141) 60 70 0.00484471 0.85675342 0.00201636 5.44E-6 59 39 16.66 
(251,222) (215,155) 68 72 0.01893856 0.85675342 0.00211194 7.16E-6 230 46 5.88 
(179,137) (195,153) 22 25 0.00793474 0.85675342 0.00106122 1.82E-6 102 17 13.63 
(23,153) (224,271) 288 306 0.93324659 0.85675342 0.00166683 2.6026E-4 10350 669 6.25 
(233,156) (97,40) 153 170 0.21434405 0.85675342 0.00162615 6.688E-5 2588 283 11.11 
(269,123) (134,48) 233 248 0.9749792 0.85675342 0.00169365 3.6754E-4 11175 799 6.43 
(226,163) (114,191) 175 183 0.44352033 0.85675342 0.00215508 1.2234E-4 5318 415 4.57 
(125,89) (54,226) 170 178 0.2480989 0.85675342 0.00195674 7.561E-5 3146 305 4.7 
(97,43) (269,239) 208 231 0.08925817 0.85675342 0.00153097 5.739E-5 1157 266 11.05 
(96,195) (268,81) 236 251 0.48858398 0.85675342 0.00180582 1.3375E-4 5972 456 6.35 
(297,116) (43,171) 285 311 1.01189189 0.85675342 0.00206437 4.3485E-4 11261 874 9.12 
(271,74) (197,69) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(56,230) (185,247) 248 263 0.9235715 0.85675342 0.00187721 2.7431E-4 10428 690 6.04 
(226,225) (174,92) 139 147 0.2127764 0.85675342 0.00209032 5.524E-5 2611 244 5.75 
(266,92) (264,109) 18 18 0.00136405 0.85675342 0.00215123 6.3E-7 17 3 0.0 
(159,71) (40,157) 259 287 0.71201776 0.85675342 0.00166296 2.4874E-4 8181 621 10.81 
(79,252) (244,218) 173 187 0.30123924 0.85675342 0.00209616 5.9E-5 3736 295 8.09 
(83,249) (214,218) 139 148 0.22816649 0.85675342 0.00186278 4.062E-5 2854 209 6.47 
(127,56) (87,278) 244 256 0.73248323 0.85675342 0.00133813 2.3615E-4 8511 607 4.91 
(158,53) (77,231) 311 334 0.94729707 0.85675342 0.0016578 3.5311E-4 10493 739 7.39 
(116,254) (256,106) 254 269 0.27894784 0.85675342 0.00173034 1.215E-4 3513 400 5.9 
(117,209) (41,153) 132 140 0.2466691 0.85675342 0.00211663 5.133E-5 3100 235 6.06 
(228,141) (100,99) 129 136 0.08866786 0.85675342 0.00104319 3.334E-5 1112 168 5.42 
(172,94) (23,177) 262 286 0.76878664 0.85675342 0.00187202 2.8709E-4 8729 672 9.16 
(252,250) (40,183) 244 260 0.67100235 0.85675342 0.00195521 2.115E-4 7851 589 6.55 
(111,77) (60,130) 58 65 0.01369395 0.85675342 0.0010356 3.89E-6 175 32 12.06 
(114,123) (222,204) 145 156 0.09532229 0.85675342 0.00194149 3.415E-5 1236 179 7.58 
(60,188) (239,19) 369 401 2.47841109 0.85675342 2.9449E-4 0.00111317 21468 1458 8.67 
(184,260) (109,173) 210 225 0.27957994 0.85675342 0.00179783 6.578E-5 3402 303 7.14 
(224,272) (53,229) 222 234 0.3311893 0.85675342 0.0017779 8.107E-5 4086 348 5.4 
(105,261) (187,214) 122 130 0.05935073 0.85675342 0.00169128 1.134E-5 802 93 6.55 
(119,251) (114,270) 23 28 0.00723226 0.85675342 0.00100699 1.8E-6 102 18 21.73 
(181,276) (42,194) 280 299 0.59062125 0.85675342 0.00202471 1.8841E-4 6934 546 6.78 
(123,197) (209,118) 197 208 0.48516964 0.85675342 0.00211348 1.2372E-4 5831 440 5.58 
(201,97) (45,203) 276 297 1.07768767 0.85675342 0.00197414 4.7346E-4 11557 904 7.6 
(188,68) (218,207) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(147,104) (245,235) 141 155 0.01784373 0.85675342 0.00192887 3.071E-5 224 174 9.92 
(263,235) (160,214) 116 122 0.16490163 0.85675342 0.00193844 3.129E-5 2007 165 5.17 
(290,54) (46,209) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(47,197) (175,178) 146 161 0.16047689 0.85675342 0.00189136 5.325E-5 1950 209 10.27 
(120,99) (51,161) 121 129 0.16535238 0.85675342 0.00106991 4.135E-5 2080 202 6.61 
(116,58) (250,86) 176 190 0.22728991 0.85675342 0.00174188 6.109E-5 2845 270 7.95 
(31,116) (175,122) 145 158 0.201134 0.85675342 0.00157271 4.324E-5 2466 205 8.96 
(267,238) (26,176) 270 286 0.75766138 0.85675342 0.00216267 2.9207E-4 8609 654 5.92 
(206,162) (191,157) 16 17 0.00123929 0.85675342 0.00226069 1.21E-6 15 4 6.25 
(242,131) (163,73) 86 93 0.09383282 0.85675342 0.00205706 1.676E-5 1134 85 8.13 
(172,96) (71,93) 198 215 0.41963717 0.85675342 0.00195773 1.1618E-4 4935 398 8.58 
(94,168) (272,141) 210 223 0.3426752 0.85675342 0.00144423 8.705E-5 4186 343 6.19 
(203,275) (47,138) 314 332 1.147097 0.85675342 0.00208972 5.4727E-4 12220 961 5.73 
(53,222) (74,83) 142 146 0.14160732 0.85675342 0.00154102 2.039E-5 1741 112 2.81 
(230,253) (256,251) 27 27 0.00415187 0.85675342 0.00205013 1.39E-6 51 7 0.0 
(248,150) (36,149) 214 235 0.64803802 0.85675342 0.00105433 2.3196E-4 7441 585 9.81 
(98,232) (113,213) 20 22 0.00157736 0.85675342 0.0022128 2.01E-6 19 8 10.0 
(126,199) (95,40) 160 166 0.16184832 0.85675342 5.828E-4 3.852E-5 2033 189 3.75 
(249,92) (146,105) 116 128 0.33741208 0.85675342 0.00204879 7.149E-5 3967 289 10.34 
(229,54) (52,184) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(184,222) (267,124) 140 152 0.05855196 0.85675342 0.0019084 2.393E-5 740 130 8.57 
(56,171) (52,138) 34 40 0.00273096 0.85675342 0.00209327 3.16E-6 33 21 17.64 
(207,128) (262,123) 56 56 0.00451737 0.85675342 0.00195278 3.39E-6 55 14 0.0 
(211,111) (105,81) 138 149 0.31870634 0.85675342 0.00201411 7.241E-5 3799 300 7.97 
(170,223) (46,221) 125 133 0.12311286 0.85675342 0.00180705 1.988E-5 1539 132 6.4 
(122,99) (117,268) 184 194 0.37883012 0.85675342 0.00156222 7.758E-5 4588 321 5.43 
(84,96) (70,257) 162 168 0.09046197 0.85675342 0.00207124 1.646E-5 1141 97 3.7 
(46,211) (25,133) 79 86 0.00643985 0.85675342 0.00189307 8.99E-6 78 56 8.86 
(197,68) (261,98) NaN NaN NaN NaN NaN NaN NaN NaN NaN 
(207,163) (239,84) 80 83 0.00916891 0.85675342 0.00206258 1.015E-5 113 52 3.75 
(55,179) (81,95) 85 88 0.00509729 0.85675342 0.00206319 7.51E-6 84 49 3.52 
(237,19) (210,90) 141 153 0.12777263 0.85675342 7.6479E-4 1.863E-5 1577 133 8.51 
(51,108) (49,107) 3 5 1.5585E-4 0.85675342 0.00137348 4.8E-7 2 3 66.66 
(214,145) (43,149) 180 196 0.49976645 0.85675342 0.00213823 1.4739E-4 5805 455 8.88 
(50,102) (36,203) 111 115 0.02544279 0.85675342 0.00201216 1.537E-5 334 98 3.6 
(186,105) (126,213) 227 238 0.74774284 0.85675342 0.00181458 2.5871E-4 8374 598 4.84 
(239,166) (137,83) 112 122 0.13304847 0.85675342 0.00180982 2.592E-5 1615 152 8.92 
(254,108) (176,89) 82 87 0.10905405 0.85675342 0.00107865 1.597E-5 1317 85 6.09 
(96,237) (57,205) 59 63 0.05538477 0.85675342 0.00215223 8.12E-6 691 60 6.77 
(222,226) (102,53) 185 198 0.20861383 0.85675342 0.00213273 5.703E-5 2532 264 7.02 
(194,106) (70,236) 262 277 0.94198189 0.85675342 0.00214793 3.0205E-4 10117 700 5.72 
(223,93) (57,208) 285 302 1.44209749 0.85675342 0.00211407 5.6773E-4 14344 1005 5.96 
(201,262) (211,218) 69 75 0.06417828 0.85675342 0.00175218 9.01E-6 793 73 8.69
